id,programa,fecha_instalacion,latitud,longitud,colonia,alcaldia
2345,Postes C5,2019-09-15,19.43348,-99.1521,JUAREZ,CUAUHTEMOC
2346,Postes C5,2019-12-15,19.4258,-99.13292,CENTRO VI,CUAUHTEMOC
2347,Postes C5,2019-07-15,19.43653,-99.14185,GUERRERO IV,CUAUHTEMOC
2348,Postes C5,2019-09-15,19.44812,-99.15305,SANTA MARIA LA RIBERA II,CUAUHTEMOC
2349,Postes C5,2019-04-15,19.44867,-99.14438,GUERRERO I,CUAUHTEMOC
2350,Postes C5,2019-06-15,19.44118,-99.14339,GUERRERO IV,CUAUHTEMOC
2351,Postes C5,2019-07-15,19.43649,-99.15078,TABACALERA,CUAUHTEMOC
2352,Postes C5,2019-09-15,19.44544,-99.14755,BUENAVISTA I,CUAUHTEMOC
2353,Postes C5,2019-08-15,19.4448,-99.1438,GUERRERO III,CUAUHTEMOC
2354,Postes C5,2019-09-15,19.45213,-99.15456,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2355,Postes C5,2020-02-15,19.45143,-99.14136,NONOALCO-TLATELOLCO (U HAB) II,CUAUHTEMOC
2356,Postes C5,2019-10-15,19.44788,-99.13885,GUERRERO I,CUAUHTEMOC
2357,Postes C5,2019-05-15,19.44298,-99.1401,GUERRERO IV,CUAUHTEMOC
2358,Postes C5,2019-11-15,19.4364,-99.13797,CENTRO IV,CUAUHTEMOC
2359,Postes C5,2019-09-15,19.4464,-99.14344,GUERRERO III,CUAUHTEMOC
2360,Postes C5,2019-06-15,19.44434,-99.14251,GUERRERO IV,CUAUHTEMOC
2361,Postes C5,2019-09-15,19.44583,-99.14572,GUERRERO III,CUAUHTEMOC
2362,Postes C5,2019-08-15,19.44502,-99.14507,GUERRERO III,CUAUHTEMOC
2363,Postes C5,2019-06-15,19.44539,-99.14365,GUERRERO III,CUAUHTEMOC
2364,Postes C5,2019-09-15,19.44753,-99.15008,BUENAVISTA I,CUAUHTEMOC
2365,Postes C5,2019-07-15,19.44769,-99.14194,GUERRERO I,CUAUHTEMOC
2366,Postes C5,2019-09-15,19.4484,-99.13549,GUERRERO II,CUAUHTEMOC
2367,Postes C5,2019-06-15,19.44135,-99.14035,GUERRERO IV,CUAUHTEMOC
2368,Postes C5,2019-04-15,19.44769,-99.14529,GUERRERO I,CUAUHTEMOC
2369,Postes C5,2019-06-15,19.44969,-99.14485,GUERRERO I,CUAUHTEMOC
2370,Postes C5,2019-05-15,19.4459,-99.14085,GUERRERO II,CUAUHTEMOC
2371,Postes C5,2019-06-15,19.44283,-99.14402,GUERRERO IV,CUAUHTEMOC
2372,Postes C5,2019-09-15,19.44777,-99.13663,GUERRERO II,CUAUHTEMOC
2373,Postes C5,2019-03-15,19.44352,-99.14276,GUERRERO IV,CUAUHTEMOC
2374,Postes C5,2019-06-15,19.44237,-99.14176,GUERRERO IV,CUAUHTEMOC
2375,Postes C5,2019-07-15,19.42799,-99.15455,JUAREZ,CUAUHTEMOC
2376,Postes C5,2019-06-15,19.45171,-99.1445,GUERRERO I,CUAUHTEMOC
2377,Postes C5,2019-11-15,19.4392,-99.14339,GUERRERO IV,CUAUHTEMOC
2379,Postes C5,2019-10-15,19.45557,-99.16342,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2380,Postes C5,2019-04-15,19.43515,-99.14202,CENTRO VIII,CUAUHTEMOC
2381,Postes C5,2019-12-15,19.45228,-99.16397,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2382,Postes C5,2019-09-15,19.45491,-99.15769,ATLAMPA,CUAUHTEMOC
2383,Postes C5,2020-01-15,19.44993,-99.15275,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2384,Postes C5,2019-08-15,19.45264,-99.15818,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2385,Postes C5,2019-09-15,19.45099,-99.15962,SANTA MARIA LA RIBERA II,CUAUHTEMOC
2386,Postes C5,2019-12-15,19.44901,-99.15889,SANTA MARIA LA RIBERA II,CUAUHTEMOC
2387,Postes C5,2019-08-15,19.44675,-99.15548,SANTA MARIA LA RIBERA II,CUAUHTEMOC
2388,Postes C5,2019-08-15,19.4427,-99.16255,SANTA MARIA LA RIBERA IV,CUAUHTEMOC
2389,Postes C5,2020-05-15,19.41824,-99.17069,ROMA NORTE I,CUAUHTEMOC
2390,Postes C5,2019-06-15,19.4522,-99.15559,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2391,Postes C5,2019-07-15,19.45028,-99.1548,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2392,Postes C5,2019-05-15,19.44623,-99.16298,SANTA MARIA LA RIBERA IV,CUAUHTEMOC
2393,Postes C5,2019-11-15,19.41719,-99.16495,ROMA NORTE I,CUAUHTEMOC
2394,Postes C5,2019-07-15,19.4447,-99.15583,SANTA MARIA LA RIBERA IV,CUAUHTEMOC
2395,Postes C5,2019-11-15,19.44198,-99.1565,SANTA MARIA LA RIBERA IV,CUAUHTEMOC
2396,Postes C5,2019-10-15,19.45184,-99.15283,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2397,Postes C5,2019-03-15,19.43604,-99.14071,CENTRO VIII,CUAUHTEMOC
2399,Postes C5,2019-07-15,19.4445,-99.15408,SANTA MARIA LA RIBERA IV,CUAUHTEMOC
2400,Postes C5,2019-08-15,19.44512,-99.16514,SANTA MARIA LA RIBERA IV,CUAUHTEMOC
2401,Postes C5,2019-09-15,19.45418,-99.15296,SANTA MARIA LA RIBERA I,CUAUHTEMOC
2402,Postes C5,2019-07-15,19.44262,-99.16367,SAN RAFAEL II,CUAUHTEMOC
2403,Postes C5,2019-07-15,19.4404,-99.15673,SANTA MARIA LA RIBERA IV,CUAUHTEMOC
2404,Postes C5,2019-08-15,19.41079,-99.14187,OBRERA III,CUAUHTEMOC
2405,Postes C5,2020-01-15,19.43768,-99.13356,CENTRO IV,CUAUHTEMOC
2406,Postes C5,2019-11-15,19.43775,-99.13464,CENTRO IV,CUAUHTEMOC
2407,Postes C5,2019-05-15,19.43958,-99.13914,CENTRO IV,CUAUHTEMOC
2408,Postes C5,2019-07-15,19.44093,-99.14002,GUERRERO IV,CUAUHTEMOC
2409,Postes C5,2019-04-15,19.43867,-99.12377,CENTRO II,CUAUHTEMOC
2410,Postes C5,2019-04-15,19.43466,-99.12437,CENTRO III,CUAUHTEMOC
2411,Postes C5,2019-12-15,19.42568,-99.12571,CENTRO VII,CUAUHTEMOC
2412,Postes C5,2020-01-15,19.44359,-99.13398,MORELOS III,CUAUHTEMOC
2413,Postes C5,2019-07-15,19.42797,-99.13069,CENTRO VII,CUAUHTEMOC
2414,Postes C5,2019-10-15,19.44278,-99.13932,CENTRO I,CUAUHTEMOC
2415,Postes C5,2019-09-15,19.43265,-99.15099,JUAREZ,CUAUHTEMOC
2416,Postes C5,2020-02-15,19.44024,-99.12582,CENTRO II,CUAUHTEMOC
2417,Postes C5,2019-10-15,19.44251,-99.13537,CENTRO I,CUAUHTEMOC
2418,Postes C5,2019-10-15,19.44188,-99.13604,CENTRO I,CUAUHTEMOC
2419,Postes C5,2019-10-15,19.44081,-99.13856,CENTRO IV,CUAUHTEMOC
2420,Postes C5,2019-04-15,19.41585,-99.15908,ROMA NORTE III,CUAUHTEMOC
2421,Postes C5,2019-06-15,19.44065,-99.13308,CENTRO II,CUAUHTEMOC
2422,Postes C5,2019-10-15,19.4408,-99.13112,CENTRO I,CUAUHTEMOC
2423,Postes C5,2019-05-15,19.441770000000002,-99.13416,CENTRO I,CUAUHTEMOC
2424,Postes C5,2019-10-15,19.44237,-99.13163,CENTRO I,CUAUHTEMOC
2425,Postes C5,2019-08-15,19.44084,-99.13722,CENTRO I,CUAUHTEMOC
2426,Postes C5,2019-07-15,19.43974,-99.13375,CENTRO II,CUAUHTEMOC
2427,Postes C5,2019-03-15,19.41479,-99.1563,ROMA NORTE III,CUAUHTEMOC
2428,Postes C5,2019-08-15,19.44033,-99.13917,CENTRO IV,CUAUHTEMOC
2429,Postes C5,2020-06-15,19.43747,-99.12735,CENTRO III,CUAUHTEMOC
2430,Postes C5,2019-08-15,19.43654,-99.12557,CENTRO III,CUAUHTEMOC
2431,Postes C5,2019-06-15,19.41801,-99.15712,ROMA NORTE III,CUAUHTEMOC
2432,Postes C5,2020-01-15,19.43647,-99.1241,CENTRO III,CUAUHTEMOC
2433,Postes C5,2019-08-15,19.43278,-99.12514,CENTRO VII,CUAUHTEMOC
